web-scraper-order,web-scraper-start-url,companies_name_column,company_url_pg1-href,ville_pg1,site_pg1,site_pg1-href,company_pres,company_looking_for,category,equipe,equipe-href,team titles
1693133277-1,https://www.welcometothejungle.com/en/companies?page=4&aroundQuery=France&refinementList%5Boffices.country_code%5D%5B%5D=FR&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Digital&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Marketing%20%2F%20Communications&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Advertising&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Event%20Management&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=AdTech%20%2F%20MarTech&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Design&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Public%20Relations&refinementList%5Bsize.en%5D%5B%5D=%3C%2015%20employees,The Lyfe Influence,https://www.welcometothejungle.com/en/companies/the-lyfe-influence?q=d41d252ba7618dd060c973d7dce444ec&o=21078,Paris,Voir le site,https://the-lyfe.com/,The Lyfe Influence est une agence de communication et d'influence avec une offre 360° proposant les services suivants :Application de mise en relation entre plus de 1200 influenceurs et marquesStratégies d'influenceTalent ManagementCommunity management Organisation d'événementDigital Ads,"Nous recherchons des personnes passionnées, joyeuses, rigoureuses et créatives.","Digital, Marketing / Communications, Public Relations",Équipe,https://www.welcometothejungle.com/en/companies/the-lyfe-influence/team,"Rencontrez Hannah, Fondatrice"
1693133277-2,https://www.welcometothejungle.com/en/companies?page=4&aroundQuery=France&refinementList%5Boffices.country_code%5D%5B%5D=FR&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Digital&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Marketing%20%2F%20Communications&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Advertising&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Event%20Management&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=AdTech%20%2F%20MarTech&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Design&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Public%20Relations&refinementList%5Bsize.en%5D%5B%5D=%3C%2015%20employees,The Lyfe Influence,https://www.welcometothejungle.com/en/companies/the-lyfe-influence?q=d41d252ba7618dd060c973d7dce444ec&o=21078,Paris,Voir le site,https://the-lyfe.com/,The Lyfe Influence est une agence de communication et d'influence avec une offre 360° proposant les services suivants :Application de mise en relation entre plus de 1200 influenceurs et marquesStratégies d'influenceTalent ManagementCommunity management Organisation d'événementDigital Ads,"Nous recherchons des personnes passionnées, joyeuses, rigoureuses et créatives.","Digital, Marketing / Communications, Public Relations",Équipe,https://www.welcometothejungle.com/en/companies/the-lyfe-influence/team,"Rencontrez Céline, Head of influence"
1693133277-3,https://www.welcometothejungle.com/en/companies?page=4&aroundQuery=France&refinementList%5Boffices.country_code%5D%5B%5D=FR&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Digital&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Marketing%20%2F%20Communications&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Advertising&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Event%20Management&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=AdTech%20%2F%20MarTech&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Design&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Public%20Relations&refinementList%5Bsize.en%5D%5B%5D=%3C%2015%20employees,The Lyfe Influence,https://www.welcometothejungle.com/en/companies/the-lyfe-influence?q=d41d252ba7618dd060c973d7dce444ec&o=21078,Paris,Voir le site,https://the-lyfe.com/,The Lyfe Influence est une agence de communication et d'influence avec une offre 360° proposant les services suivants :Application de mise en relation entre plus de 1200 influenceurs et marquesStratégies d'influenceTalent ManagementCommunity management Organisation d'événementDigital Ads,"Nous recherchons des personnes passionnées, joyeuses, rigoureuses et créatives.","Digital, Marketing / Communications, Public Relations",Équipe,https://www.welcometothejungle.com/en/companies/the-lyfe-influence/team,"Rencontrez Nermine, Cheffe de projet Application"
1693133289-4,https://www.welcometothejungle.com/en/companies?page=4&aroundQuery=France&refinementList%5Boffices.country_code%5D%5B%5D=FR&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Digital&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Marketing%20%2F%20Communications&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Advertising&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Event%20Management&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=AdTech%20%2F%20MarTech&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Design&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Public%20Relations&refinementList%5Bsize.en%5D%5B%5D=%3C%2015%20employees,Bilum,https://www.welcometothejungle.com/en/companies/bilum?q=d41d252ba7618dd060c973d7dce444ec&o=21376,Choisy-Le-Roi,Voir le site,https://www.bilum.fr/,"bilum est une maison de création et une manufacture d’upcycling.Lancée en 2005, la société est la pionnière en France dans la seconde vie donnée à des matière normalement vouées à l’élimination : des toiles publicitaires géantes, blousons de gendarme, gilets de sauvetage, ou même des montgolfières … sont transformés en sacs et accessoires haut de gamme.Leur circuit de production est court, local et inclusif, impliquant  9 ateliers et artisans partenaires ; 100% français. 
Ils s’adressent aux particuliers, via leur boutique en ligne et sont surtout très actifs et reconnus en BtoB. Par exemple des housses de sièges du Concorde, transformées en pochettes premium uniques et numérotées, ont été rachetées par Air France pour leur propre réseau. Ou le drapeau français du Grand Palais transformé en housses iPad pour la boutique…
Ainsi « bilum confectionne l’héritage des marques à travers leurs propres matières ». Ils ont plus de 150 entreprises clientes, qui vont de la SNCF à Christian Dior Couture.Début 2023, bilum aura récupéré 65 000 m2 de matières, upcyclées en plus de 350 000 pièces originales.bilum est aujourd’hui un des acteurs emblématiques de l'upcycling made in France. Le CA, tout comme l’équipe, a plus que doublé l’année dernière.","bilum recherche des personnes curieuses, qui aiment la polyvalence et donc donner de l’amplitude à leur «  fiche de poste ». Des personnalités bienveillantes, qui prennent de plaisir à travailler en équipe ; qui recherchent une ambiance humaine et créative. Des autonomes et ambitieux, qui veulent grandir avec cette entreprise qui s’est développée très rapidement ces 3 dernières annéesAucun jour, aucune opération, aucun client ne ressemble à un autre et chaque projet est atypique. Chez bilum, le mardi ne ressemble pas au lundi, le mercredi est différent, le jeudi évidemment, quant au vendredi, n’en parlons pas…","Design, Environment / Sustainable Development, Fashion",Équipe,https://www.welcometothejungle.com/en/companies/bilum/team,"Rencontrez Hélène, Fondatrice"
1693133289-5,https://www.welcometothejungle.com/en/companies?page=4&aroundQuery=France&refinementList%5Boffices.country_code%5D%5B%5D=FR&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Digital&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Marketing%20%2F%20Communications&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Advertising&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Event%20Management&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=AdTech%20%2F%20MarTech&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Design&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Public%20Relations&refinementList%5Bsize.en%5D%5B%5D=%3C%2015%20employees,Bilum,https://www.welcometothejungle.com/en/companies/bilum?q=d41d252ba7618dd060c973d7dce444ec&o=21376,Choisy-Le-Roi,Voir le site,https://www.bilum.fr/,"bilum est une maison de création et une manufacture d’upcycling.Lancée en 2005, la société est la pionnière en France dans la seconde vie donnée à des matière normalement vouées à l’élimination : des toiles publicitaires géantes, blousons de gendarme, gilets de sauvetage, ou même des montgolfières … sont transformés en sacs et accessoires haut de gamme.Leur circuit de production est court, local et inclusif, impliquant  9 ateliers et artisans partenaires ; 100% français. 
Ils s’adressent aux particuliers, via leur boutique en ligne et sont surtout très actifs et reconnus en BtoB. Par exemple des housses de sièges du Concorde, transformées en pochettes premium uniques et numérotées, ont été rachetées par Air France pour leur propre réseau. Ou le drapeau français du Grand Palais transformé en housses iPad pour la boutique…
Ainsi « bilum confectionne l’héritage des marques à travers leurs propres matières ». Ils ont plus de 150 entreprises clientes, qui vont de la SNCF à Christian Dior Couture.Début 2023, bilum aura récupéré 65 000 m2 de matières, upcyclées en plus de 350 000 pièces originales.bilum est aujourd’hui un des acteurs emblématiques de l'upcycling made in France. Le CA, tout comme l’équipe, a plus que doublé l’année dernière.","bilum recherche des personnes curieuses, qui aiment la polyvalence et donc donner de l’amplitude à leur «  fiche de poste ». Des personnalités bienveillantes, qui prennent de plaisir à travailler en équipe ; qui recherchent une ambiance humaine et créative. Des autonomes et ambitieux, qui veulent grandir avec cette entreprise qui s’est développée très rapidement ces 3 dernières annéesAucun jour, aucune opération, aucun client ne ressemble à un autre et chaque projet est atypique. Chez bilum, le mardi ne ressemble pas au lundi, le mercredi est différent, le jeudi évidemment, quant au vendredi, n’en parlons pas…","Design, Environment / Sustainable Development, Fashion",Équipe,https://www.welcometothejungle.com/en/companies/bilum/team,"Rencontrez Mael, Chef de projet commercial"
1693133289-6,https://www.welcometothejungle.com/en/companies?page=4&aroundQuery=France&refinementList%5Boffices.country_code%5D%5B%5D=FR&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Digital&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Marketing%20%2F%20Communications&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Advertising&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Event%20Management&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=AdTech%20%2F%20MarTech&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Design&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Public%20Relations&refinementList%5Bsize.en%5D%5B%5D=%3C%2015%20employees,Bilum,https://www.welcometothejungle.com/en/companies/bilum?q=d41d252ba7618dd060c973d7dce444ec&o=21376,Choisy-Le-Roi,Voir le site,https://www.bilum.fr/,"bilum est une maison de création et une manufacture d’upcycling.Lancée en 2005, la société est la pionnière en France dans la seconde vie donnée à des matière normalement vouées à l’élimination : des toiles publicitaires géantes, blousons de gendarme, gilets de sauvetage, ou même des montgolfières … sont transformés en sacs et accessoires haut de gamme.Leur circuit de production est court, local et inclusif, impliquant  9 ateliers et artisans partenaires ; 100% français. 
Ils s’adressent aux particuliers, via leur boutique en ligne et sont surtout très actifs et reconnus en BtoB. Par exemple des housses de sièges du Concorde, transformées en pochettes premium uniques et numérotées, ont été rachetées par Air France pour leur propre réseau. Ou le drapeau français du Grand Palais transformé en housses iPad pour la boutique…
Ainsi « bilum confectionne l’héritage des marques à travers leurs propres matières ». Ils ont plus de 150 entreprises clientes, qui vont de la SNCF à Christian Dior Couture.Début 2023, bilum aura récupéré 65 000 m2 de matières, upcyclées en plus de 350 000 pièces originales.bilum est aujourd’hui un des acteurs emblématiques de l'upcycling made in France. Le CA, tout comme l’équipe, a plus que doublé l’année dernière.","bilum recherche des personnes curieuses, qui aiment la polyvalence et donc donner de l’amplitude à leur «  fiche de poste ». Des personnalités bienveillantes, qui prennent de plaisir à travailler en équipe ; qui recherchent une ambiance humaine et créative. Des autonomes et ambitieux, qui veulent grandir avec cette entreprise qui s’est développée très rapidement ces 3 dernières annéesAucun jour, aucune opération, aucun client ne ressemble à un autre et chaque projet est atypique. Chez bilum, le mardi ne ressemble pas au lundi, le mercredi est différent, le jeudi évidemment, quant au vendredi, n’en parlons pas…","Design, Environment / Sustainable Development, Fashion",Équipe,https://www.welcometothejungle.com/en/companies/bilum/team,"Rencontrez Alexandre, Ingénieur production"
1693133296-7,https://www.welcometothejungle.com/en/companies?page=4&aroundQuery=France&refinementList%5Boffices.country_code%5D%5B%5D=FR&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Digital&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Marketing%20%2F%20Communications&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Advertising&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Event%20Management&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=AdTech%20%2F%20MarTech&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Design&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Public%20Relations&refinementList%5Bsize.en%5D%5B%5D=%3C%2015%20employees,Future Agency,https://www.welcometothejungle.com/en/companies/future-agency?q=d41d252ba7618dd060c973d7dce444ec&o=21036,Paris,Voir le site,https://futureagency.fr/,"Future Agency est une agence d’expériences innovantes qui aide les entreprises à se transformer et à anticiper le futur. Nous sommes à la fois un cabinet de conseil en innovation et une agence événementielle. Future Agency propose majoritairement à des grands groupes du CAC 40 (L’Oréal, BNP Paribas, Allianz, SNCF…) différents formats d’inspiration à travers des expériences innovantes : séminaires, sessions de team building, Learning Expeditions, workshop & shot d'inspirations, Future Box...Aujourd’hui, l’équipe est composée de 10 personnes dont 2 fondateurs et d’une communauté d’une vingtaine de freelances et d’experts.","Tous les jours, les collaborateurs de Future Agency grandissent et s'entraident. Vous souhaitez avoir de réelles responsabilités ? Avoir des missions diverses et variées ? Faire partie d’une aventure entrepreneuriale ? Rejoignez Future Agency !","Corporate Support, Event Management, Organization / Management",Équipe,https://www.welcometothejungle.com/en/companies/future-agency/team-1,"Rencontrez Léa, Cheffe de projet innovation"
1693133296-8,https://www.welcometothejungle.com/en/companies?page=4&aroundQuery=France&refinementList%5Boffices.country_code%5D%5B%5D=FR&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Digital&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Marketing%20%2F%20Communications&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Advertising&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Event%20Management&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=AdTech%20%2F%20MarTech&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Design&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Public%20Relations&refinementList%5Bsize.en%5D%5B%5D=%3C%2015%20employees,Future Agency,https://www.welcometothejungle.com/en/companies/future-agency?q=d41d252ba7618dd060c973d7dce444ec&o=21036,Paris,Voir le site,https://futureagency.fr/,"Future Agency est une agence d’expériences innovantes qui aide les entreprises à se transformer et à anticiper le futur. Nous sommes à la fois un cabinet de conseil en innovation et une agence événementielle. Future Agency propose majoritairement à des grands groupes du CAC 40 (L’Oréal, BNP Paribas, Allianz, SNCF…) différents formats d’inspiration à travers des expériences innovantes : séminaires, sessions de team building, Learning Expeditions, workshop & shot d'inspirations, Future Box...Aujourd’hui, l’équipe est composée de 10 personnes dont 2 fondateurs et d’une communauté d’une vingtaine de freelances et d’experts.","Tous les jours, les collaborateurs de Future Agency grandissent et s'entraident. Vous souhaitez avoir de réelles responsabilités ? Avoir des missions diverses et variées ? Faire partie d’une aventure entrepreneuriale ? Rejoignez Future Agency !","Corporate Support, Event Management, Organization / Management",Équipe,https://www.welcometothejungle.com/en/companies/future-agency/team-1,"Rencontrez Mathieu, Business Developer"
1693133296-9,https://www.welcometothejungle.com/en/companies?page=4&aroundQuery=France&refinementList%5Boffices.country_code%5D%5B%5D=FR&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Digital&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Marketing%20%2F%20Communications&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Advertising&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Event%20Management&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=AdTech%20%2F%20MarTech&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Design&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Public%20Relations&refinementList%5Bsize.en%5D%5B%5D=%3C%2015%20employees,Future Agency,https://www.welcometothejungle.com/en/companies/future-agency?q=d41d252ba7618dd060c973d7dce444ec&o=21036,Paris,Voir le site,https://futureagency.fr/,"Future Agency est une agence d’expériences innovantes qui aide les entreprises à se transformer et à anticiper le futur. Nous sommes à la fois un cabinet de conseil en innovation et une agence événementielle. Future Agency propose majoritairement à des grands groupes du CAC 40 (L’Oréal, BNP Paribas, Allianz, SNCF…) différents formats d’inspiration à travers des expériences innovantes : séminaires, sessions de team building, Learning Expeditions, workshop & shot d'inspirations, Future Box...Aujourd’hui, l’équipe est composée de 10 personnes dont 2 fondateurs et d’une communauté d’une vingtaine de freelances et d’experts.","Tous les jours, les collaborateurs de Future Agency grandissent et s'entraident. Vous souhaitez avoir de réelles responsabilités ? Avoir des missions diverses et variées ? Faire partie d’une aventure entrepreneuriale ? Rejoignez Future Agency !","Corporate Support, Event Management, Organization / Management",Équipe,https://www.welcometothejungle.com/en/companies/future-agency/team-1,"Rencontrez Pénélope, Directrice artistique"
1693133296-10,https://www.welcometothejungle.com/en/companies?page=4&aroundQuery=France&refinementList%5Boffices.country_code%5D%5B%5D=FR&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Digital&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Marketing%20%2F%20Communications&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Advertising&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Event%20Management&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=AdTech%20%2F%20MarTech&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Design&refinementList%5Bsectors_name.en.Advertising%20%2F%20Marketing%20%2F%20Agency%5D%5B%5D=Public%20Relations&refinementList%5Bsize.en%5D%5B%5D=%3C%2015%20employees,Future Agency,https://www.welcometothejungle.com/en/companies/future-agency?q=d41d252ba7618dd060c973d7dce444ec&o=21036,Paris,Voir le site,https://futureagency.fr/,"Future Agency est une agence d’expériences innovantes qui aide les entreprises à se transformer et à anticiper le futur. Nous sommes à la fois un cabinet de conseil en innovation et une agence événementielle. Future Agency propose majoritairement à des grands groupes du CAC 40 (L’Oréal, BNP Paribas, Allianz, SNCF…) différents formats d’inspiration à travers des expériences innovantes : séminaires, sessions de team building, Learning Expeditions, workshop & shot d'inspirations, Future Box...Aujourd’hui, l’équipe est composée de 10 personnes dont 2 fondateurs et d’une communauté d’une vingtaine de freelances et d’experts.","Tous les jours, les collaborateurs de Future Agency grandissent et s'entraident. Vous souhaitez avoir de réelles responsabilités ? Avoir des missions diverses et variées ? Faire partie d’une aventure entrepreneuriale ? Rejoignez Future Agency !","Corporate Support, Event Management, Organization / Management",Équipe,https://www.welcometothejungle.com/en/companies/future-agency/team-1,"Rencontrez Ruben, Co-fondateur"
